0.0000002831 0.0000001097 0.0000000766 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0442042846 -0.0320491858 0.0038228610 0.9290830754 0.9290831122 0.9290830936 0.1906581515 0.1950191413 0.1950827218 0.0000000000 0.0000000000 10.9171045441 0.0076154355 0.0076154355 0.0076154355 0.0039603287 0.0039856244 0.0039859794   11
0.0000000654 -0.0000002219 -0.0000001555 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.0103745023 -0.0035401600 -0.0103121616 1.1042380685 1.1042381209 1.1042380944 0.1861974761 0.1909364430 0.1910058479 0.0000000000 0.0000000000 10.5325216850 0.0076154355 0.0076154355 0.0076154355 0.0034015327 0.0034295758 0.0034299702   12
-0.0000001837 -0.0000004210 -0.0000002950 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.0234087625 0.0293204965 -0.0322581671 1.2946239257 1.2946239983 1.2946239615 0.1808302387 0.1859350916 0.1860101995 0.0000000000 0.0000000000 10.2326389059 0.0076154355 0.0076154355 0.0076154355 0.0029165738 0.0029466233 0.0029470468   13
-0.0000003217 -0.0000003452 -0.0000002420 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.0240118407 0.0402392553 -0.0217571950 1.5002406459 1.5002407441 1.5002406944 0.1747990113 0.1802507881 0.1803313738 0.0000000000 0.0000000000 9.9975136811 0.0076154355 0.0076154355 0.0076154355 0.0025007589 0.0025321251 0.0025325682   14
-0.0000004244 -0.0000005886 -0.0000004124 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.0466202041 0.0370497829 -0.0328916983 1.7210882279 1.7210883578 1.7210882920 0.1683395937 0.1741142759 0.1742000200 0.0000000000 0.0000000000 9.8122431418 0.0076154355 0.0076154355 0.0076154355 0.0021469503 0.0021790364 0.0021794907   15
-0.0000001974 -0.0000005384 -0.0000003773 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.0430126322 0.0136835079 -0.0227182404 1.9571666703 1.9571668389 1.9571667535 0.1616538383 0.1677241961 0.1678147360 0.0000000000 0.0000000000 9.6655508429 0.0076154355 0.0076154355 0.0076154355 0.0018471978 0.0018795134 0.0018799720   16
-0.0000002165 -0.0000003748 -0.0000002627 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.0268148704 0.0163701113 -0.0128428167 2.2084759715 2.2084761871 2.2084760779 0.1549018125 0.1612389952 0.1613339270 0.0000000000 0.0000000000 9.5488126224 0.0076154355 0.0076154355 0.0076154355 0.0015937110 0.0016258685 0.0016263261   17
-0.0000002930 -0.0000004302 -0.0000003016 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.0293877896 0.0261413950 -0.0040378371 2.4750161300 2.4750164017 2.4750162641 0.1482035700 0.1547783711 0.1548772793 0.0000000000 0.0000000000 9.4553713782 0.0076154355 0.0076154355 0.0076154355 0.0013793606 0.0014110642 0.0014115166   18
-0.0000001725 -0.0000005117 -0.0000003587 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.0426326543 0.0107326032 -0.0157027003 2.7567871440 2.7567874822 2.7567873110 0.1416450182 0.1484287748 0.1485312471 0.0000000000 0.0000000000 9.3800473087 0.0076154355 0.0076154355 0.0076154355 0.0011978831 0.0012289137 0.0012293578   19
-0.0000004076 -0.0000002375 -0.0000001667 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.0262492595 0.0400840202 -0.0109204427 3.0537890120 3.0537894280 3.0537892174 0.1352847105 0.1422499099 0.1423555560 0.0000000000 0.0000000000 9.3187829784 0.0076154355 0.0076154355 0.0076154355 0.0010439126 0.0010741137 0.0010745472   20
-0.0000005068 -0.0000002764 -0.0000001940 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.0372662577 0.0284109649 -0.0160554675 3.3660217321 3.3660222386 3.3660219822 0.1291601868 0.1362808771 0.1363893129 0.0000000000 0.0000000000 9.2683827588 0.0076154355 0.0076154355 0.0076154355 0.0009129255 0.0009421898 0.0009426112   21
-0.0000003616 -0.0000002154 -0.0000001513 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.0336088993 0.0235766298 -0.0178735549 3.6934853023 3.6934859132 3.6934856040 0.1232933411 0.1305453184 0.1306561863 0.0000000000 0.0000000000 9.2263191724 0.0076154355 0.0076154355 0.0076154355 0.0008011449 0.0008294034 0.0008298116   22
-0.0000002567 -0.0000002312 -0.0000001625 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.0275944568 0.0070990413 -0.0163071197 4.0361797206 4.0361804513 4.0361800815 0.1176946747 0.1250555883 0.1251685539 0.0000000000 0.0000000000 9.1905872326 0.0076154355 0.0076154355 0.0076154355 0.0007054357 0.0007326488 0.0007330432   23
-0.0000002504 -0.0000000715 -0.0000000507 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.0154251391 0.0014168771 -0.0238419038 4.3941049849 4.3941058520 4.3941054134 0.1123666051 0.1198159603 0.1199307104 0.0000000000 0.0000000000 9.1595936257 0.0076154355 0.0076154355 0.0076154355 0.0006232029 0.0006493532 0.0006497334   24
-0.0000001611 -0.0000001846 -0.0000001300 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.0132739248 -0.0044370095 -0.0115878709 4.7672610928 4.7672621147 4.7672615978 0.1073059271 0.1148250385 0.1149412890 0.0000000000 0.0000000000 9.1320714920 0.0076154355 0.0076154355 0.0076154355 0.0005523008 0.0005773873 0.0005777533   25
