1.0197903505526431 0.9373535456803377 0.9262336199721389 -0.0431378453110845 120.0058772207591300 0.0154780766557184 0.6110886364799720  1.8849554461130900 400.8272564381429100 0.0000440370435140  0.0000476177077285 0.0000441023306811 -0.0002051949198394  0.0064060512636650 0.0104394197248872 0.0177812354144389  0.0162903669292446 -0.0160265302769572
1.0200295578142298 0.9363292981234258 0.9293856125802549 -0.0365573647571513 120.0081906184560600 0.0152769667364240 0.6111075148304076  1.8849554383996354 400.8439168525658800 0.0000444397326917  0.0000472567836922 0.0000441660489556 -0.0002127272091014  0.0065408073029728 0.0104388291237529 0.0177715391169422  0.0162855849770791 -0.0160926792869279
1.0186844648630518 0.9379104601260206 0.9314918272586721 -0.0344457598009366 120.0090331342164900 0.0151838353554886 0.6111263932424931  1.8849554317270578 400.8585588658444300 0.0000448045774165  0.0000469357891519 0.0000441941450961 -0.0002221099024027  0.0066251745899795 0.0104408623628300 0.0177668174164444  0.0162826519055391 -0.0161401268283586
1.0160988020043891 0.9380451129733995 0.9320677851376745 -0.0304740680588529 120.0108283834013000 0.0156108705840926 0.6111452716677033  1.8849554258649257 400.8712514883021600 0.0000452107585498  0.0000463277105848 0.0000442977528033 -0.0002408339990994  0.0067291928844431 0.0104495272373108 0.0177617063879919  0.0162805677875547 -0.0161979137554368
1.0151839617412348 0.9370539483874462 0.9346901793808434 -0.0255713182657583 120.0079153620389300 0.0076615611076198 0.6111641501467926  1.8849554207205454 400.8808717302945300 0.0000453741203666  0.0000460514136522 0.0000444313720799 -0.0002534826919707  0.0067609107876853 0.0104549265808861 0.0177613764134529  0.0162804868525187 -0.0162136862108961
1.0163667065221278 0.9383431505209314 0.9355516407997969 -0.0235583433349883 120.0082893617039200 0.0091074524102682 0.6111830287199112  1.8849554159714021 400.8901385355524700 0.0000456064960591  0.0000458121600517 0.0000445279888197 -0.0002684207887770  0.0067812123124972 0.0104608549344645 0.0177626927259621  0.0162807657573921 -0.0162256025687925
1.0169417436158250 0.9379425748612156 0.9378996572317230 -0.0221540246624470 120.0114153021367300 0.0101998108627357 0.6112019073400160  1.8849554116666576 400.8990003999333000 0.0000458036389940  0.0000455697991216 0.0000445593493556 -0.0002828706450277  0.0067938407155606 0.0104666297379458 0.0177643920721645  0.0162814863112705 -0.0162338058871798
1.0170455193615209 0.9401784248185783 0.9382278570668781 -0.0207158580501135 120.0121295805129300 0.0115904950761121 0.6112207860438655  1.8849554077241790 400.9070082516292900 0.0000460862984912  0.0000451088331643 0.0000445123816843 -0.0003142519632478  0.0068129286033421 0.0104780990178078 0.0177679845591575  0.0162836030370483 -0.0162428900255740
1.0155734600240351 0.9418081779174162 0.9368433623087403 -0.0170785726919282 120.0071905933500300 0.0036927058758417 0.6112396645000862  1.8849554042528878 400.9128994736585700 0.0000462214702304  0.0000450012030341 0.0000445651659449 -0.0003296200152743  0.0068139912015946 0.0104821319323886 0.0177703664113785  0.0162847778350913 -0.0162449210265793
1.0154691855941287 0.9392600743382893 0.9354382968022906 -0.0166453884206951 120.0079749685059100 0.0051076995572035 0.6112585429350018  1.8849554010269518 400.9183823909350500 0.0000463474412081  0.0000449208586185 0.0000446764874874 -0.0003441665413984  0.0068123307384360 0.0104854205171978 0.0177728027989376  0.0162861994307173 -0.0162448636812257
1.0173030717987936 0.9443158105225525 0.9341351595132169 -0.0147838485512775 120.0107112380131200 0.0057619659504438 0.6112774214320759  1.8849553979525826 400.9231593527222200 0.0000464729380124  0.0000448360916417 0.0000448183201632 -0.0003588821580811  0.0068090826606827 0.0104882250943267 0.0177753178455335  0.0162878578020421 -0.0162428088860283
