-0.0000000682 0.0000000112 0.0000000078 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0096330580 0.0185544760 0.0097557135 0.0076204513 0.0076204513 0.0076204513 0.0031576971 0.0031576768 0.0031576767 0.0000000000 0.0000000000 100.1126657766 0.0000000376 0.0000000376 0.0000000376 0.0000898142 0.0000898145 0.0000898145   11
-0.0000000593 0.0000000120 0.0000000084 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0096334749 0.0152906899 0.0097545102 0.0076213586 0.0076213586 0.0076213586 0.0029311952 0.0029311734 0.0029311733 0.0000000000 0.0000000000 100.1224387167 0.0000000376 0.0000000376 0.0000000376 0.0000692672 0.0000692674 0.0000692674   12
-0.0000000560 0.0000000130 0.0000000091 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0097062712 0.0141067054 0.0097594975 0.0076223411 0.0076223411 0.0076223411 0.0027342367 0.0027342139 0.0027342138 0.0000000000 0.0000000000 100.1322456707 0.0000000376 0.0000000376 0.0000000376 0.0000545294 0.0000545296 0.0000545296   13
-0.0000000505 0.0000000142 0.0000000099 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0097980648 0.0125895195 0.0097824701 0.0076233988 0.0076233988 0.0076233988 0.0025615886 0.0025615652 0.0025615651 0.0000000000 0.0000000000 100.1420796528 0.0000000376 0.0000000376 0.0000000376 0.0000436885 0.0000436886 0.0000436886   14
-0.0000000385 0.0000000155 0.0000000108 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0099094610 0.0100684726 0.0098199715 0.0076245317 0.0076245317 0.0076245317 0.0024091281 0.0024091043 0.0024091042 0.0000000000 0.0000000000 100.1519354302 0.0000000376 0.0000000376 0.0000000376 0.0000355388 0.0000355389 0.0000355389   15
-0.0000000479 0.0000000170 0.0000000118 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0100178499 0.0115211822 0.0098427295 0.0076257398 0.0076257398 0.0076257398 0.0022735828 0.0022735586 0.0022735584 0.0000000000 0.0000000000 100.1618090188 0.0000000376 0.0000000376 0.0000000376 0.0000292954 0.0000292956 0.0000292956   16
-0.0000000360 0.0000000186 0.0000000130 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0101502819 0.0096107509 0.0098364353 0.0076270232 0.0076270232 0.0076270232 0.0021523325 0.0021523080 0.0021523079 0.0000000000 0.0000000000 100.1716973384 0.0000000376 0.0000000376 0.0000000376 0.0000244326 0.0000244327 0.0000244327   17
-0.0000000459 0.0000000204 0.0000000142 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0102704130 0.0108086274 0.0098345113 0.0076283817 0.0076283817 0.0076283817 0.0020432607 0.0020432359 0.0020432358 0.0000000000 0.0000000000 100.1815979732 0.0000000376 0.0000000376 0.0000000376 0.0000205890 0.0000205891 0.0000205891   18
-0.0000000348 0.0000000221 0.0000000154 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0103803268 0.0094039615 0.0098352161 0.0076298155 0.0076298155 0.0076298155 0.0019446416 0.0019446166 0.0019446165 0.0000000000 0.0000000000 100.1915090044 0.0000000376 0.0000000376 0.0000000376 0.0000175113 0.0000175114 0.0000175114   19
-0.0000000446 0.0000000241 0.0000000168 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0104988246 0.0103584151 0.0098231716 0.0076313245 0.0076313245 0.0076313245 0.0018550566 0.0018550313 0.0018550312 0.0000000000 0.0000000000 100.2014288895 0.0000000376 0.0000000376 0.0000000376 0.0000150179 0.0000150179 0.0000150179   20
-0.0000000666 0.0000000259 0.0000000181 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0105959466 0.0123794489 0.0098100431 0.0076329087 0.0076329087 0.0076329087 0.0017733294 0.0017733039 0.0017733038 0.0000000000 0.0000000000 100.2113563751 0.0000000376 0.0000000376 0.0000000376 0.0000129764 0.0000129765 0.0000129765   21
